,PDB code,Resolution (A),Bnet
15050,9FRO,1.71,2.420172877
15051,5N92,2.3,2.420031903
15052,5HB7,0.82,2.420027031
15053,5I9Y,1.23,2.419773563
15054,8D0S,1.37,2.419723649
15055,3MI6,2.7,2.419711558
15056,7ZN6,1.9,2.419705984
15057,7JMQ,1.6,2.419681343
15058,2II1,1.95,2.419587065
15059,7VBE,1.59,2.419586392
15060,3E7L,2.25,2.419580163
15061,2C31,1.73,2.419532618
15062,5BJX,1.6,2.41944262
15063,6N95,1.8,2.419390259
15064,4K4G,2.15,2.419320841
15065,3K86,2,2.419194116
15066,7P4O,1.69,2.41913066
15067,7E4C,1.64,2.419123504
15068,5H3H,1.9,2.419095576
15069,4CQK,1.6,2.419077244
15070,5YLW,1.7,2.419062463
15071,5LNE,2.2,2.419003593
15072,6C2O,1.18,2.418982638
15073,6FU1,1.55,2.418926233
15074,3KKA,2.4,2.418726174
15075,7DC0,1.88,2.418718554
15076,6IS6,2.4,2.418579599
15077,6RGM,1.5,2.418501506
15078,4JHS,3,2.418351074
15079,2JEQ,1.94,2.418303118
15080,6MBO,1.59,2.418296605
15081,1ETE,2.2,2.418278197
15082,5YW2,2.28,2.41822457
15083,3LXC,2.35,2.418210312
15084,8WR5,1.7,2.418205961
15085,6LZV,2.2,2.418198613
15086,3AXJ,2.1,2.418036776
15087,3SIY,1.35,2.417977745
15088,5W2U,2,2.417913372
15089,6VVB,1.45,2.417764077
15090,8D6Q,2.7,2.417752618
15091,4MFI,1.5,2.417751247
15092,7VZO,1.75,2.417729558
15093,1VL7,1.5,2.417682113
15094,4LRI,1.65,2.417677651
15095,7W7Z,2.15,2.417571025
15096,5O67,2.84,2.41745537
15097,4WEG,2.1,2.41745533
15098,1L8J,2,2.417408505
15099,2PEI,2.7,2.417379868
15100,7KUW,2.43,2.417309876
15101,3NI6,1.42,2.417063042
15102,8R29,2.15,2.416971319
15103,4ZZT,1.56,2.416900411
15104,3MQT,2.1,2.416730499
15105,4EGZ,2.3,2.41670806
15106,4WU8,2.45,2.416702406
15107,7F6S,1.8,2.416543495
15108,1XE5,2.4,2.416536371
15109,5SRP,1.05,2.416441828
15110,1ULN,1.65,2.416408148
15111,6QU9,1.9,2.416380663
15112,3FEV,1.3,2.416379631
15113,4BHQ,2.05,2.41633234
15114,6W00,1.85,2.416121
15115,3ACX,1.31,2.416096796
15116,8HD2,1.6,2.416078617
15117,4GDP,2,2.4160592
15118,3MIT,2.32,2.416045805
15119,5Y2T,1.7,2.416007184
15120,4FHQ,2.25,2.415984305
15121,5MWA,1.55,2.41594371
15122,3PD2,1.86,2.41588588
15123,6X7H,1.25,2.415869979
15124,2FLO,2.2,2.415828472
15125,4BBQ,2.24,2.41578508
15126,1Z0B,1.55,2.415707349
15127,5NTI,2.4,2.415562573
15128,8IW2,1.75,2.415514444
15129,7V9Z,1.85,2.415436698
15130,3H5C,3.26,2.415355708
15131,3H2V,2.9,2.415321533
15132,2AK1,1.85,2.415275427
15133,7K8Q,2,2.415274309
15134,6HOK,1.61,2.41524345
15135,7URH,1.47,2.415214341
15136,6WO8,1.7,2.415178654
15137,4ED2,1.71,2.415076455
15138,7DMG,1.79,2.415049361
15139,5T6U,2.9,2.415032089
15140,5UFK,2.3,2.415027337
15141,8BSX,1.38,2.41502435
15142,5UU6,1.95,2.414991594
15143,5UX1,1.5,2.414940573
15144,4XTM,2.7,2.414925801
15145,2YWR,1.77,2.414822466
15146,9AVQ,2.58,2.414731316
15147,4IRA,2.2,2.414677803
15148,3PB4,1.13,2.4146626
15149,9IXG,2.14,2.414658381
15150,6KSE,2,2.414574532
15151,4X14,2.3,2.414571171
15152,8AJQ,1.25,2.414567195
15153,2QAD,3.3,2.414536522
15154,3BER,1.4,2.414533955
15155,2D54,2,2.414426088
15156,8VNL,1.64,2.414425202
15157,1JCZ,1.55,2.41440325
15158,5FL5,2.05,2.414315778
15159,2VW8,1.45,2.414312695
15160,2YYJ,1.66,2.414284351
15161,4OS0,1.75,2.414253541
15162,5JRY,1.2,2.414193144
15163,5HX6,2.23,2.414187317
15164,4C2R,2.3,2.414184138
15165,6WVV,2.33,2.414081439
15166,4I9Y,1.75,2.414078868
15167,6J6L,1.45,2.413972652
15168,3SU1,1.4,2.413943168
15169,8GM1,1.85,2.413878864
15170,5P9J,1.08,2.413799504
15171,3VZZ,2.04,2.413724394
15172,3QXY,2.09,2.413720602
15173,4L3R,2.23,2.413708957
15174,3MRL,2.41,2.413551288
15175,5SHZ,2.55,2.413485459
15176,3FH3,2.1,2.41341517
15177,6DIW,1.8,2.413310946
15178,8Y58,1.6,2.41329372
15179,1U0Q,1.6,2.413280783
15180,4F49,2.25,2.413073551
15181,2ZCW,1.5,2.413054378
15182,4ZMY,1.5,2.413025422
15183,8VCK,1.49,2.412969429
15184,5B4S,1.75,2.412880867
15185,3RA0,2.45,2.412812815
15186,9BI7,1.5,2.412763694
15187,3V7Z,1.61,2.41270199
15188,2ZMA,1.51,2.412649653
15189,3P2Q,1.85,2.412634691
15190,5Z9M,2.74,2.412612125
15191,4HBL,2.5,2.412608272
15192,5L73,2.24,2.412599752
15193,7F4Z,1.8,2.412523501
15194,6JKR,1.6,2.412213528
15195,4Z9O,2.3,2.412209478
15196,4TNP,2,2.412203282
15197,4XCA,2.29,2.412129806
15198,1VGL,2.6,2.411973753
15199,4DUA,2,2.411939193
15200,5KB5,1.8,2.411816282
15201,3SMB,1.6,2.411801251
15202,1L9X,1.6,2.41178907
15203,4JHV,1.6,2.411778322
15204,7UYM,2.2,2.411758018
15205,2GF9,1.53,2.411673293
15206,5J1R,1.92,2.411648423
15207,6O5D,2.4,2.411602513
15208,5M70,2.2,2.411595772
15209,5NS2,2.2,2.411525451
15210,7KGT,1.9,2.411504523
15211,6WCM,1.7,2.411492996
15212,5UTT,1.7,2.41135456
15213,2G0Y,2.3,2.411348028
15214,3I85,2.5,2.411293289
15215,5A29,1.9,2.411252212
15216,1VJ2,1.65,2.411221942
15217,5HKQ,2,2.411144792
15218,7T4Z,1.78,2.411111225
15219,6PGP,1.5,2.41104364
15220,7ZA9,1.05,2.411020593
15221,2DQD,1.8,2.410991233
15222,6O6X,2.11,2.410936032
15223,4B78,1.5,2.410934709
15224,9C7B,1.4,2.41093296
15225,5OFK,1.16,2.410886722
15226,6UJO,2.25,2.41086691
15227,7B1R,2.8,2.410838626
15228,6JTP,1.9,2.410795688
15229,4N9W,1.94,2.410747338
15230,7T0K,2,2.410744427
15231,7L5A,2.95,2.410704529
15232,1VKZ,2.3,2.410686315
15233,4DMA,2.3,2.410645418
15234,6T85,1.1,2.410643624
15235,2WUX,1.84,2.410638924
15236,3RO7,2.5,2.410626313
15237,1VKP,1.53,2.410572453
15238,2C9J,1.35,2.410538802
15239,2Q7F,2.49,2.410535673
15240,7S3A,1.48,2.410339883
15241,4IPB,1.62,2.41030627
15242,5R2S,1.15,2.410296379
15243,4OXF,1.5,2.410286942
15244,6SOO,1.57,2.410185854
15245,4AMF,1.52,2.410118826
15246,5CSE,1.79,2.410003168
15247,7EJQ,1.15,2.409987136
15248,6PKD,1.9,2.409827851
15249,5X9J,2.1,2.409778354
15250,5GKK,2,2.409669148
15251,5Y3I,1.73,2.409572125
15252,6JFE,2.1,2.409445013
15253,5N3R,1.36,2.409439888
15254,5EPB,1.5,2.409429794
15255,6RQU,1.39,2.409359415
15256,5OLR,1.07,2.409266106
15257,5YXK,1.9,2.409213394
15258,1E72,1.6,2.409141608
15259,8IQS,2.16,2.409141392
15260,4YJI,1.73,2.40894007
15261,4ZP0,2,2.408883652
15262,6IZC,1.55,2.408872524
15263,1PW8,1.3,2.408869908
15264,5LIR,1.75,2.408789449
15265,8PJQ,1.15,2.408639934
15266,7TDY,1.53,2.408569497
15267,2HXS,1.1,2.408526244
15268,6EOF,1.59,2.408268377
15269,8YE0,1.94,2.408153757
15270,4QY1,2.59,2.408148346
15271,5WKG,2.06,2.408115171
15272,8HJY,1.18,2.408034368
15273,2G3R,1.25,2.407995932
15274,2XX8,1.55,2.407930563
15275,5OTN,0.99,2.407786857
15276,7USJ,2.08,2.407741518
15277,2GFI,2.29,2.407734926
15278,3AG7,1.8,2.407632538
15279,3I10,1.35,2.407544207
15280,5ELM,2,2.40750463
15281,3WSG,2,2.407480333
15282,1QJF,1.4,2.407417981
15283,5RUC,1,2.40738802
15284,3X13,1.8,2.407358831
15285,7X4A,2.21,2.407346768
15286,8BM5,1.4,2.407224435
15287,3L8C,2.41,2.407094478
15288,5GS7,1.5,2.407001542
15289,1M5E,1.46,2.406997755
15290,4C3E,2.4,2.406988724
15291,7MPR,1.42,2.406986546
15292,9GH3,1.19,2.406937953
15293,5GWP,2.58,2.406871099
15294,2GLF,2.8,2.406795283
15295,1XB7,2.5,2.406748084
15296,6DOV,1.52,2.406677472
15297,2QX7,1.75,2.406535095
15298,6MMQ,2.02,2.406511529
15299,8AUH,1.35,2.406507492
15300,4O6Y,1.7,2.406276433
15301,4YNH,1,2.406260093
15302,4LWV,2.32,2.405954031
15303,4YW7,1.82,2.405909187
15304,3AQ3,2.1,2.405881877
15305,2EBH,2.4,2.405842729
15306,5M0P,1.95,2.405821539
15307,1KDM,2.35,2.405701909
15308,3VKI,2.3,2.40561806
15309,6FRG,1.53,2.405563127
15310,6BXM,2.25,2.405482501
15311,3CQN,2,2.405444178
15312,3VFH,2.57,2.405398066
15313,5SRI,1.05,2.40532177
15314,7MKU,2.65,2.405215409
15315,5FL6,1.95,2.405098818
15316,5H4R,1.7,2.40500756
15317,2IYR,1.98,2.40491793
15318,1Q4U,1.6,2.404853665
15319,7MFX,1.59,2.404827389
15320,5SZH,2.3,2.404793123
15321,3E1Q,2.6,2.404776853
15322,6ESX,2.8,2.404624253
15323,2Z35,2.2,2.404601445
15324,4QG9,2.38,2.404563311
15325,7RT1,1.27,2.404474445
15326,7UVH,2.59,2.40440719
15327,8G9M,2.5,2.404359509
15328,4CKT,3,2.404259434
15329,5EO2,2.5,2.404164083
15330,6TO0,1.88,2.404018983
15331,3HBG,1.9,2.40399176
15332,6REM,1.6,2.403989893
15333,6LRF,2.05,2.403839534
15334,2RD1,2.3,2.403806726
15335,5HJP,2.6,2.403725286
15336,5TRS,3.08,2.403648109
15337,2JHU,1.65,2.4036431
15338,4DP5,1.88,2.403354927
15339,5CD2,1.55,2.403315785
15340,8TBG,1.2,2.403251471
15341,7DOH,1.45,2.403249646
15342,8AD2,2,2.403225166
15343,8TLP,2,2.403203219
15344,6MCX,2.3,2.403136456
15345,3RXF,1.7,2.403133216
15346,4EZW,1.8,2.4031291
15347,4WBQ,2.69,2.403055787
15348,3M5N,1.9,2.402920296
15349,8D9Z,1.8,2.402917275
15350,4IK2,1.4,2.402761266
15351,2QCI,1.2,2.402742758
15352,9OAQ,2.54,2.402722072
15353,3KN5,2.4,2.402713659
15354,7XTV,2.31,2.402697037
15355,4NXV,2.3,2.402548182
15356,8CX5,1.72,2.40251944
15357,2HVO,1.65,2.40244437
15358,4JPL,1.41,2.402364584
15359,5XL9,2.39,2.402363373
15360,7AR4,2.6,2.402299159
15361,3FC3,1.75,2.402275039
15362,8HQF,1.51,2.402210088
15363,2UYY,2.5,2.402158102
15364,6EMJ,2.3,2.402153405
15365,5OH2,1.9,2.402135271
15366,4ZA8,1.06,2.402129166
15367,5BS0,2.4,2.402123534
15368,3GWI,1.6,2.402099882
15369,7L8R,1.52,2.401971546
15370,4DOY,1.79,2.401957492
15371,7AF1,1.7,2.401930721
15372,4B2P,1.6,2.401889145
15373,2G7S,1.4,2.40186817
15374,5OCJ,1.8,2.401808528
15375,5IYP,1.27,2.401779739
15376,1M0I,2.55,2.401660192
15377,7JHW,1.65,2.401534022
15378,3NE0,1,2.401512103
15379,8TBS,2.35,2.401378956
15380,5OCI,1.62,2.401371012
15381,5KKO,1.55,2.401326353
15382,3C8K,2.9,2.401158922
15383,3BG7,2.1,2.401090949
15384,4C6S,1.75,2.401085611
15385,7OLL,1.9,2.401066175
15386,5JTH,1.84,2.4010519
15387,8P8T,1.71,2.401037307
15388,4D3O,1.9,2.40096227
15389,6TSL,1.4,2.400939555
15390,2H7F,2.7,2.40086137
15391,5J67,3.16,2.400804572
15392,5OJN,1.8,2.400749699
15393,1ZI8,1.4,2.40066332
15394,7LJL,1.45,2.400606651
15395,5FM5,3.1,2.400576076
15396,3S12,3.1,2.400564874
15397,8GD2,1.13,2.400532675
15398,5F69,1.37,2.400526336
15399,3RKD,1.9,2.400433927
15400,2O69,2,2.400386816
15401,6UYR,1.3,2.400293519
15402,8RFF,1.31,2.400286585
15403,5HAT,2,2.400251086
15404,3LWX,1.1,2.400246817
15405,2OOB,1.9,2.400125392
15406,5B09,1.7,2.400056394
15407,2QFE,1.45,2.399952381
15408,7BD8,1.42,2.399951093
15409,8HGU,1.94,2.399865809
15410,2PD0,2.3,2.399807182
15411,6CD4,1.23,2.399707462
15412,6SF9,1.59,2.399693778
15413,2FXQ,1.85,2.399574386
15414,6FFS,1.86,2.39952439
15415,8ILY,1.7,2.399508167
15416,5LND,1.46,2.399463954
15417,3STQ,2.28,2.399458341
15418,7BOC,2.55,2.39936565
15419,5L20,1.45,2.399295191
15420,8FRA,1.95,2.399207943
15421,4Y1R,1.65,2.399201553
15422,7UI8,2.37,2.399117908
15423,6T8W,1.7,2.399096583
15424,8VOL,0.9,2.399027695
15425,6XAL,1.35,2.398883938
15426,2R1V,1.7,2.398833775
15427,6KGD,1.65,2.398695901
15428,6R85,2,2.398687379
15429,5UUO,1.25,2.398685356
15430,8U07,1.63,2.398601196
15431,8EM5,1.95,2.398572471
15432,4TR9,2.11,2.398487562
15433,8P9T,1.2,2.3984821
15434,2DB3,2.2,2.398423862
15435,6TNP,3,2.398381803
15436,7B9W,1.82,2.398364386
15437,3IO8,2.3,2.398323002
15438,2BP5,2.8,2.398267362
15439,4ODW,2.72,2.398263415
15440,5N3J,1.12,2.398179228
15441,1TJ5,2.2,2.397934456
15442,6F6Q,1.79,2.397884497
15443,7WWX,1.36,2.397836611
15444,5UXQ,2.42,2.397825442
15445,4Z63,2.51,2.397800563
15446,7GID,1.9,2.397588587
15447,4LUU,1.95,2.397579021
15448,3I25,2.1,2.397520392
15449,8QQF,2.19,2.397497042
15450,5LS2,2.3,2.397458744
15451,5Y5G,1.36,2.397408116
15452,2HVG,2.3,2.397395532
15453,4ZEB,1.89,2.39737262
15454,5Z9B,2.1,2.397211141
15455,7KAZ,1.85,2.397199263
15456,7XR9,2.42,2.397166865
15457,5ZU6,1.4,2.397127089
15458,6FJU,1.65,2.39708854
15459,8DZK,2.1,2.397022065
15460,8UE2,3,2.396861341
15461,2R59,1.89,2.396839055
15462,6KXB,1.5,2.396800852
15463,8UEC,3,2.396760025
15464,7MQ5,1.25,2.396746952
15465,6YB0,1.86,2.396719849
15466,5DLJ,2.6,2.396669441
15467,5HAG,2.1,2.3966625
15468,8E17,1.47,2.396647663
15469,6RTT,1.65,2.396642669
15470,1IN4,1.6,2.396620853
15471,3BIL,2.5,2.396598943
15472,6T7P,1.42,2.396597737
15473,3LHC,1.34,2.396510966
15474,4XQG,1.42,2.396453506
15475,3HH6,1.25,2.39641047
15476,8DBA,3.5,2.396286573
15477,3E9Y,3,2.39627853
15478,4U7U,3,2.396183956
15479,6C7B,2.13,2.396175605
15480,1R0B,2.9,2.396164921
15481,1XKS,2.35,2.396131339
15482,3RB0,3.22,2.396104384
15483,1N43,1.89,2.396054946
15484,8XI7,1.95,2.396029269
15485,7L9H,1.85,2.395876658
15486,6JT5,1.5,2.39585464
15487,6V2N,1.65,2.39577241
15488,2YYE,2.1,2.395693576
15489,4UQD,1.25,2.395630541
15490,2ZPH,1.59,2.395621139
15491,6SYX,1.3,2.395594872
15492,4C6M,1.62,2.395555915
15493,6QH0,2.44,2.395464243
15494,8C3W,1.6,2.395394754
15495,6LJX,1.75,2.395359481
15496,6YYO,1.5,2.395266605
15497,4DYY,1.9,2.395266587
15498,2G5V,1.45,2.39520564
15499,6XZN,1.75,2.395072703
15500,6N0Q,2.04,2.395023791
15501,1TKY,1.48,2.394986342
15502,4E6P,2.1,2.394794807
15503,7O6U,1.84,2.394771242
15504,3V2M,1.47,2.394757639
15505,2VY7,1.53,2.39475737
15506,6ORR,2.25,2.39460293
15507,3D3Q,2.7,2.394585949
15508,6KY2,1.87,2.394547208
15509,3WI7,1.7,2.394528161
15510,4LPL,1.35,2.39450543
15511,5GP7,1.5,2.394466854
15512,6H17,1.27,2.394408043
15513,2J65,2.2,2.394315824
15514,2ZNX,2.3,2.394315238
15515,5R2J,1.01,2.394236475
15516,8BMU,1.6,2.394207216
15517,3D5I,2.2,2.394167591
15518,7A7W,1.3,2.394153214
15519,6TSM,1.4,2.393987169
15520,2OO3,2,2.393971968
15521,4QQK,1.88,2.393938016
15522,3MBR,1.44,2.393924924
15523,4W88,1.58,2.393857841
15524,5X8F,1.76,2.39382128
15525,6A2I,2.4,2.393795015
15526,8T29,3.13,2.393787334
15527,3RMX,2.75,2.393785936
15528,6MLT,1.9,2.393751059
15529,8ZG1,2.4,2.393747218
15530,3H4I,1.3,2.393723078
15531,5YWN,2.04,2.393679774
15532,2EA9,2.1,2.393645363
15533,3PPL,1.25,2.393562354
15534,5XL2,2.3,2.393516627
15535,5LPL,1.65,2.393493521
15536,4DO6,1.6,2.393451127
15537,2ET1,1.6,2.393431107
15538,2YZI,2.25,2.393327843
15539,3DCQ,1.8,2.393321741
15540,4N2A,1.7,2.393313536
15541,7YE7,2.95,2.393264523
15542,4WXD,2.3,2.393216053
15543,3HV2,1.5,2.393215129
15544,4FFL,1.5,2.393124803
15545,2NNP,1.2,2.393019756
15546,9EFF,1.82,2.392997418
15547,6J26,2,2.392993728
15548,3FVP,1.41,2.392979942
15549,7GYE,1.92,2.392725217
15550,5OAQ,1.95,2.392710799
15551,5YRK,1.35,2.392701589
15552,5CPO,1.65,2.392668672
15553,3Q0A,2.69,2.392539405
15554,6B5I,2.6,2.39245157
15555,6I0M,2.57,2.392323871
15556,7S54,1.79,2.392279202
15557,7G31,1.71,2.392275394
15558,4IPJ,2.15,2.392083184
15559,4I62,1.05,2.392052084
15560,1Z72,1.45,2.392046412
15561,3UO1,1.64,2.392012464
15562,3NY5,1.99,2.392010741
15563,6RR0,2.18,2.391990032
15564,7QF2,1.07,2.391975049
15565,4RIF,1.85,2.391940863
15566,5H48,2.2,2.391920535
15567,4FCO,1.76,2.391873923
15568,3OQ6,1.2,2.391757607
15569,2C0C,1.45,2.391736359
15570,1L3J,1.9,2.391636212
15571,3ALB,1.85,2.391609132
15572,6X3D,2,2.391589155
15573,8D24,1.75,2.391558558
15574,4W7S,2.54,2.391548934
15575,3MD2,2.2,2.391402724
15576,6IZK,2.29,2.391385507
15577,5KUU,1.7,2.391284011
15578,3WZ1,1.6,2.391242398
15579,3PYA,2.25,2.391156395
15580,4DWC,2.89,2.39114901
15581,3A6B,1.8,2.391107216
15582,5NTB,1.5,2.391101708
15583,8UIT,2.2,2.391083672
15584,8V95,1.73,2.390923021
15585,3BC9,1.35,2.390920871
15586,7TYB,2.11,2.390894484
15587,6NHF,1.83,2.390835075
15588,8Q1Q,1.38,2.390814427
15589,2PLW,1.7,2.390567887
15590,6CJR,1.8,2.390533668
15591,6EX8,1.6,2.390515354
15592,8W91,2.12,2.390496296
15593,1V9H,2,2.390380762
15594,6CUH,2.01,2.39030364
15595,8UZ8,2.45,2.390293866
15596,6FPC,1.75,2.390272422
15597,5A36,2,2.390230261
15598,5L9Q,1.75,2.390220278
15599,3VLI,1.7,2.390217639
15600,2QSF,2.35,2.39021432
15601,2CMR,2,2.390172889
15602,2PQG,2.38,2.390162197
15603,2EUW,1.68,2.390151742
15604,6UAI,1.2,2.390123587
15605,4KHM,1.7,2.390088049
15606,7DNU,2.24,2.390069376
15607,3O5P,1,2.390000327
15608,5WEX,1.26,2.38989936
15609,1P7I,2.1,2.389862146
15610,6IIU,2.5,2.389843499
15611,5C7H,1.3,2.389836405
15612,8RL0,1.81,2.389819431
15613,5RBR,0.9,2.3898035
15614,5OEQ,2.25,2.389742827
15615,2QFZ,2.1,2.389738376
15616,8FU4,1.6,2.389686858
15617,5J1Q,1.74,2.389679962
15618,6SOQ,1.67,2.389608473
15619,8VWK,2.05,2.389591167
15620,8Q9R,2.25,2.389497182
15621,2I62,1.8,2.389488106
15622,5DE3,1.42,2.389388451
15623,2BYW,1.7,2.389368979
15624,4AU1,1.45,2.389214507
15625,8E1Q,2.5,2.389162185
15626,8JJH,1.61,2.389090167
15627,8AKH,1.4,2.389052969
15628,8WMB,1.65,2.388989253
15629,6VMZ,2.2,2.388980987
15630,4LZL,1.55,2.388888034
15631,4NCY,1.42,2.388868963
15632,3L6V,2.19,2.388824708
15633,2F71,1.55,2.388775012
15634,5DBO,3,2.38875852
15635,4R5K,1.75,2.388715388
15636,3PMM,1.9,2.38851689
15637,6X20,1.4,2.388510705
15638,7Z6M,2.51,2.388495217
15639,8K14,1.28,2.388464733
15640,4HOG,2,2.388352552
15641,6Y23,2.58,2.388336856
15642,8C6E,2.05,2.388269924
15643,6THT,1.14,2.388248135
15644,3MST,1.35,2.388237432
15645,5USO,2,2.388196322
15646,8U3O,1.88,2.388149511
15647,4PGD,2.7,2.387955718
15648,3FFI,2.6,2.387909158
15649,5ZM2,2.5,2.387887889
15650,4N04,2.49,2.38788477
15651,8Q50,1.91,2.387853335
15652,2ARC,1.5,2.387762386
15653,4WCT,1.67,2.387762354
15654,4TXG,1.75,2.387737243
15655,5LGC,2.09,2.387732169
15656,8D5I,1.82,2.387631723
15657,5NB1,2.82,2.387579006
15658,5CM3,2.3,2.387503329
15659,7PUD,1.25,2.387424103
15660,4IBC,1.75,2.387313406
15661,1G7P,1.5,2.38727905
15662,7ED1,1.65,2.387218576
15663,5AAV,1.95,2.387183944
15664,6J03,1.48,2.387135858
15665,5EVB,1.84,2.387084393
15666,6ZWA,1.68,2.387080438
15667,2NPJ,2,2.387023899
15668,8BI3,1.45,2.386900245
15669,6C29,1.54,2.386830658
15670,6VYE,1.95,2.386823038
15671,2FI3,1.58,2.386723758
15672,7OO9,1.2,2.386632643
15673,3QOO,1.25,2.386617207
15674,7L68,1.4,2.386594909
15675,1ZCT,2.6,2.386559813
15676,5U41,1.9,2.386549523
15677,7T40,1.7,2.386485232
15678,8F8W,2.71,2.386387571
15679,1MEX,1.25,2.38625573
15680,7T8K,2.3,2.386191568
15681,3W3C,2.43,2.386176648
15682,5LKJ,2.6,2.386045076
15683,6UFI,1.72,2.386011995
15684,1XE6,2.8,2.385962157
15685,7NFH,1.62,2.385928895
15686,9AUS,2.07,2.385919764
15687,4YF0,2.79,2.385884271
15688,4PBP,1.65,2.385868844
15689,8PO4,1.62,2.38585499
15690,1S94,3.34,2.385834494
15691,5CRC,2.85,2.385797426
15692,4FVL,2.44,2.385790362
15693,5OHL,2.5,2.385771951
15694,7QJQ,1.64,2.38576796
15695,7OMV,1.29,2.38573065
15696,2FCW,1.26,2.385725489
15697,1G4E,1.6,2.385708177
15698,7MFW,2.1,2.385671056
15699,6BVJ,1.75,2.385628399
15700,5NWZ,2.37,2.385616743
15701,4HPC,1.4,2.385519167
15702,4QD7,1.76,2.385474208
15703,9GTX,2.04,2.385460907
15704,9FOD,1.44,2.385138193
15705,5HW6,2.4,2.38511256
15706,5UZR,2.3,2.385090197
15707,6TG0,1.5,2.385063458
15708,5CRA,2.64,2.384987013
15709,6SDB,2.8,2.384961104
15710,6T86,2.56,2.384959793
15711,4N9D,1.7,2.384927534
15712,3AXB,1.92,2.384909779
15713,1X8G,1.7,2.384905211
15714,6KT1,1.43,2.384724952
15715,3NEK,2.5,2.384714561
15716,6RA9,2.7,2.384681295
15717,3FTT,1.6,2.384648965
15718,5OMR,1.68,2.384550646
15719,5Z9K,1.89,2.384404034
15720,2BLO,1.33,2.384354685
15721,7BNH,0.84,2.38424461
15722,5A7F,1.86,2.384238713
15723,8QC4,1.58,2.384238032
15724,5SR8,1.1,2.384183367
15725,6I1H,1.78,2.384047717
15726,6QZU,2,2.384019593
15727,2G2Q,2.5,2.384007112
15728,7O06,1.6,2.38398281
15729,6HFP,1.2,2.383575335
15730,9F54,1.7,2.383493331
15731,3IX0,2.3,2.383488045
15732,4M1I,1.8,2.383482118
15733,3FZX,2.22,2.383371503
15734,9GCI,1.47,2.3833079
15735,3GSO,1.6,2.383194121
15736,6KAL,2.6,2.383165699
15737,3DYC,2.3,2.383076611
15738,8X6P,1.05,2.383071521
15739,4PY0,3.1,2.383057571
15740,6HS6,3.08,2.383015259
15741,6KUS,1.8,2.38301169
15742,6LCE,1.78,2.383001371
15743,4IKC,1.56,2.383000374
15744,3E6F,2.41,2.382994386
15745,3KYE,2.15,2.382989173
15746,2YQ1,2.3,2.382988055
15747,4DCF,2.7,2.382954362
15748,6S2M,0.72,2.3828667
15749,2WVE,2.3,2.382856059
15750,5LUS,1.43,2.382683828
15751,4Y0Z,1.37,2.382654601
15752,7U72,1.53,2.382515715
15753,3BM9,1.6,2.382473014
15754,5APH,1.54,2.382410108
15755,6Q36,2.01,2.38238223
15756,5XUH,2.02,2.382290072
15757,2WQE,2.5,2.382191712
15758,3EFU,1.84,2.382041333
15759,1GWB,2.8,2.381924929
15760,6L70,1.56,2.381868602
15761,7QNJ,1.66,2.381857989
15762,8S6R,1.25,2.381784246
15763,1R3D,1.9,2.381754554
15764,7ZHH,1.6,2.381742586
15765,6DCW,2,2.381741827
15766,3F4K,2.3,2.381667743
15767,6NMM,2.5,2.381641241
15768,2HEI,1.55,2.381599488
15769,5NNE,1.15,2.381505418
15770,6BWA,2.2,2.381454629
15771,5HPE,2.27,2.381442032
15772,5NGI,2.98,2.381280627
15773,5WGW,2.09,2.381266635
15774,3BEC,1.6,2.381205396
15775,4NDO,1.35,2.381181848
15776,3FDY,1.55,2.381110101
15777,4IMR,1.96,2.381099062
15778,5BWR,2.2,2.381021352
15779,4JMI,1.5,2.381003867
15780,2F4N,2.5,2.380993275
15781,9F2M,1.75,2.380969236
15782,6N0K,1.46,2.380947046
15783,2X26,1.75,2.380925595
15784,2XQQ,1.31,2.380879295
15785,5J25,1.24,2.380863183
15786,6QFW,1.2,2.380795801
15787,3WD2,2.2,2.380750342
15788,7PHN,1.9,2.380661505
15789,3VPV,1.8,2.380650525
15790,5XL0,1.25,2.380618769
15791,9F4V,1.4,2.380618605
15792,1M0D,1.9,2.380594866
15793,1W85,2,2.380510224
15794,4PWH,1.8,2.380490549
15795,2PR7,1.44,2.38046938
15796,5B2C,2.24,2.380429857
15797,1IJX,1.9,2.38024084
15798,4PYS,1.82,2.380230836
15799,7B2T,1.5,2.380134799
15800,4INI,1.65,2.380129966
15801,4F3C,1.93,2.38007458
15802,3IPI,1.9,2.380020632
15803,4Y0X,1.74,2.379893788
15804,8SK1,2,2.379815608
15805,5ODG,2.12,2.379768138
15806,7JUF,1.4,2.379763331
15807,4BR9,1.4,2.379500152
15808,7L6T,1.78,2.379446123
15809,6KB5,1.95,2.379415374
15810,5HJ9,1.28,2.379358667
15811,6NTM,2.55,2.379340195
15812,1VRB,2.6,2.379267956
15813,6D3B,1.4,2.379207105
15814,6TX2,2.09,2.379195969
15815,3NFW,1.6,2.379186807
15816,3UEF,2.45,2.379180014
15817,8I1H,1.18,2.379093843
15818,4DD8,2.1,2.379050484
15819,7PFI,1.7,2.379007112
15820,3RUN,1.4,2.37900119
15821,3QNS,1.4,2.378977738
15822,5XBN,1.76,2.378928674
15823,5DSR,1.3,2.378778967
15824,8DF0,2.1,2.378734906
15825,4ABD,1.25,2.378627247
15826,6NQZ,2.58,2.378486228
15827,7KJF,1.4,2.378442743
15828,5MMN,1.9,2.378400361
